yy,admin2,latitude,longitude,num_events,total_fatalities,event_type
2020,Ariha,35.7124448176583,36.567247120921,1042,359,All
2020,Idleb,35.8859397333333,36.7451958666668,750,815,All
2020,Deir ez Zor,35.2821185483871,40.2790383064517,496,516,All
2020,As Suqaylabiyah,35.611819729207,36.3559342359767,517,239,All
2020,Al Hasakeh,36.3733711500975,40.7213573099416,513,327,All
2020,Ras Al Ain,36.8236537313432,40.1920086567164,335,333,All
2020,Izra,32.874462962963,36.150325308642,162,116,All
2020,Dara,32.6778155462185,36.119349369748,476,460,All
2020,Ath Thawrah,35.7512929577465,38.6300507042254,142,225,All
2020,Ar Raqqa,35.9311642023346,39.1274583657588,257,271,All
2020,As Salamiyeh,35.2698954128441,37.5966660550458,109,371,All
2020,Al Mayadin,34.9991423220973,40.5270471910112,267,278,All
2020,Al Mara,35.6137790804597,36.5515452107279,1305,721,All
2020,Abu Kamal,34.5768618811881,40.8674024752476,202,285,All
2020,Tell Abiad,36.5214639215687,38.8720460784314,510,368,All
2020,Azaz,36.5074360655737,37.0860426229509,488,177,All
2020,Afrin,36.505554968944,36.8492795031056,322,236,All
2020,Harim,36.1835079545455,36.6117034090909,88,153,All
2020,Az Zabdani,33.64714,36.09374,5,2,All
2020,Jarablus,36.7236222222222,37.9588925925926,54,31,All
2020,Menbij,36.5535776595744,37.8832425531915,94,18,All
2020,Al Haffa,35.7339419642857,36.2023410714286,112,52,All
2020,Quamishli,36.9846313432836,41.2610507462687,67,33,All
2020,As Sanamayn,33.0756737704918,36.1437967213115,61,75,All
2020,As Sweida,32.722464516129,36.5387580645161,62,55,All
2020,Jebel Saman,36.1489419071517,36.9674813048933,797,575,All
2020,At Tall,33.6670322222223,36.33008,90,136,All
2020,Lattakia,35.7742823529412,36.0145960784314,51,5,All
2020,Muhradah,35.3132833333333,36.5486666666667,12,2,All
2020,Al Bab,36.400451724138,37.5376643678161,174,147,All
2020,Jisr Ash Shugur,35.8176615384616,36.2857865384615,104,31,All
2020,Masyaf,35.156925,36.3896625,8,15,All
2020,Al Malikeyyeh,37.0471961538462,42.0063076923077,26,17,All
2020,Quneitra,33.1250543478261,35.8699739130435,46,42,All
2020,Damascus,33.5138916666667,36.2730916666667,36,37,All
2020,Duma,33.4539842105263,36.8718631578947,19,54,All
2020,Homs,34.6443,36.8864888888889,18,20,All
2020,Tadmor,34.7341671428571,38.7115714285714,70,316,All
2020,Rural Damascus,33.4349458333333,36.271775,24,41,All
2020,Ar Rastan,34.8629181818182,36.7296272727273,11,16,All
2020,An Nabk,34.03106,36.65222,5,3,All
2020,Hama,35.243025,36.76302,40,35,All
2020,Al Qutayfah,33.77245,36.6682,2,2,All
2020,Ain Al Arab,36.8172695652174,38.2288304347826,23,15,All
2020,Al Fiq,32.86765,35.87365,2,11,All
2020,Shahba,32.8903153846154,36.6007153846154,13,14,All
2020,Al Makhrim,34.8311,37.3759666666667,3,6,All
2020,Yabroud,33.8636,36.4158,1,2,All
2020,Qatana,33.3153857142857,36.0173142857143,14,4,All
2020,Salkhad,32.5154125,36.6602125,16,37,All
2020,As Safira,35.9283125,37.4043375,8,8,All
2020,Tall Kalakh,34.6953,36.458,1,0,All
2020,Jablah,35.3985,35.94442,10,0,All
2020,Tartous,34.8866,35.8934,1,1,All
2020,Al Qardaha,35.4538,36.0511,3,1,All
2020,Al Qusayr,34.5078,36.5803,1,0,All
2020,Darayya,33.4253,36.2255,1,2,All
2019,Al Mara,35.5425468689061,36.6479715709652,4615,2704,All
2019,Masyaf,35.1440428571429,36.38775,42,35,All
2019,Al Bab,36.4190067039107,37.5140039106146,179,198,All
2019,At Tall,33.6653000000001,36.329,122,293,All
2019,Jebel Saman,36.1092290218269,37.0278410670976,1237,740,All
2019,Al Mayadin,34.9797272084806,40.5443593639576,283,511,All
2019,Ariha,35.7348486220472,36.5436257874015,508,276,All
2019,Idleb,35.8554900653594,36.78982627451,765,720,All
2019,Afrin,36.5138854103343,36.8447249240121,329,210,All
2019,Tell Abiad,36.5538304347826,38.927986231884,276,518,All
2019,As Sanamayn,33.0729555555556,36.1727580246914,81,62,All
2019,Quamishli,36.9801,41.2805978947369,95,65,All
